Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,3.0002501010894775,3.1545400619506836,2.9622299671173096,3.072429895401001,5643920.0,154101633.662
2018-07-05,3.0782899856567383,3.1898701190948486,3.050640106201172,3.0537900924682617,6468870.0,153238488.764
2018-07-06,3.006779909133911,3.1109299659729004,2.936530113220215,3.073080062866211,6300550.0,154024641.999
2018-07-07,3.0576000213623047,3.193850040435791,3.034950017929077,3.193850040435791,4112880.0,159928399.154
2018-07-08,3.195319890975952,3.254240036010742,3.145970106124878,3.145970106124878,5605150.0,157464730.938
2018-07-09,3.144619941711426,3.1582698822021484,2.513309955596924,2.72829008102417,7128740.0,138862449.49
2018-07-10,2.724020004272461,2.731019973754883,2.2869999408721924,2.325969934463501,2271140.0,118385469.131
2018-07-11,2.325939893722534,2.346400022506714,2.0734500885009766,2.0903899669647217,3221720.0,106666792.097
2018-07-12,2.090049982070923,2.093669891357422,2.0078299045562744,2.029170036315918,6189460.0,103641433.427
2018-07-13,2.037869930267334,2.0833399295806885,2.016079902648926,2.0417799949645996,5220220.0,104295820.733
2018-07-14,2.047830104827881,2.0713000297546387,2.030679941177368,2.045380115509033,3094570.0,104486829.639
2018-07-15,2.0449299812316895,2.1301000118255615,2.0418899059295654,2.113840103149414,3873860.0,108058903.991
2018-07-16,2.1167800426483154,2.285720109939575,2.1083099842071533,2.285720109939575,7543220.0,117233495.135
2018-07-17,2.2873799800872803,2.4457900524139404,2.257280111312866,2.407819986343384,6150720.0,123342356.618
2018-07-18,2.4095699787139893,2.4704999923706055,2.2965900897979736,2.315609931945801,7979310.0,118574251.242
2018-07-19,2.3151299953460693,2.331130027770996,2.2472000122070312,2.2686800956726074,6523020.0,116154660.506
2018-07-20,2.2678799629211426,2.3139901161193848,2.163710117340088,2.187959909439087,9841210.0,111904605.47
2018-07-21,2.184809923171997,2.2623701095581055,2.157870054244995,2.2497398853302,6620700.0,115227007.269
2018-07-22,2.2439498901367188,2.295419931411743,2.2197799682617188,2.2295401096343994,5395750.0,114247869.972
2018-07-23,2.2209200859069824,2.2979300022125244,2.188460111618042,2.204169988632202,11069500.0,112986933.239
2018-07-24,2.202120065689087,2.3301100730895996,2.1867599487304688,2.3277199268341064,11108600.0,119329098.803
2018-07-25,2.3299601078033447,2.3355700969696045,2.2489099502563477,2.3024699687957764,7670820.0,117947772.111
2018-07-26,2.3033699989318848,2.3581299781799316,2.229919910430908,2.251199960708618,6701460.0,115329288.13
2018-07-27,2.254460096359253,2.2955501079559326,2.2141900062561035,2.2681000232696533,5670550.0,116313713.568
2018-07-28,2.2721199989318848,2.2903099060058594,2.2507998943328857,2.2750799655914307,4882120.0,116774906.19
