Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,0.004030169919133186,0.004158239811658859,0.003861800068989396,0.0038781699258834124,4682.759765625,3878170.0
2018-07-05,0.0038864300586283207,0.004149680025875568,0.003657609922811389,0.003921879921108484,10694.099609375,3921880.0
2018-07-06,0.003921249881386757,0.003923430107533932,0.0035313100088387728,0.0038340999744832516,8495.8701171875,3834100.0
2018-07-07,0.0038276100531220436,0.0038984999991953373,0.003536270000040531,0.0037214099429547787,15072.5,3721410.0
2018-07-08,0.0037172199226915836,0.003792349947616458,0.0036299999337643385,0.0036897400859743357,5963.009765625,3689740.0
2018-07-09,0.003688950091600418,0.0037632801104336977,0.0036096200346946716,0.0037336701061576605,3674.89990234375,3733670.0
2018-07-10,0.0037310400512069464,0.003736549988389015,0.0033476799726486206,0.0033489700872451067,2079.31005859375,3348970.0
2018-07-11,0.0033491100184619427,0.003535789903253317,0.0033070300705730915,0.0033873498905450106,4126.490234375,3387350.0
2018-07-12,0.0033865999430418015,0.003425280097872019,0.0031516700983047485,0.0032429799903184175,3044.97998046875,3242980.0
2018-07-13,0.0032461700029671192,0.0033914700616151094,0.0031645300332456827,0.0033147600479424,6335.33984375,3314760.0
2018-07-14,0.003305549966171384,0.003395230043679476,0.0031335600651800632,0.0033842199482023716,3638.85009765625,3384220.0
2018-07-15,0.003383370116353035,0.0033879498951137066,0.0031481499318033457,0.0033053599763661623,3175.530029296875,3305360.0
2018-07-16,0.0033090300858020782,0.003492400050163269,0.0031918699387460947,0.0034423700999468565,4230.5,3442370.0
2018-07-17,0.003433810081332922,0.003912370186299086,0.0034160600043833256,0.003810510039329529,29836.099609375,3810510.0
2018-07-18,0.0038088499568402767,0.004125730134546757,0.0038022599183022976,0.003909159917384386,18308.69921875,3909160.0
2018-07-19,0.0039072600193321705,0.004100429825484753,0.0038041300140321255,0.003957290202379227,7900.75,3957290.0
2018-07-20,0.003960299771279097,0.0040911901742219925,0.0036457800306379795,0.003741299966350198,14565.900390625,3741300.0
2018-07-21,0.0037403900641947985,0.003791090101003647,0.0036195300053805113,0.0037764699663966894,1857.1300048828125,3776470.0
2018-07-22,0.0037754899822175503,0.003906009951606393,0.0034524300135672092,0.0035539299715310335,4151.1298828125,3553930.0
2018-07-23,0.003549800021573901,0.0038896698970347643,0.003549800021573901,0.0036985899787396193,6237.5498046875,3698590.0
2018-07-24,0.003704030066728592,0.0041773999109864235,0.003618980059400201,0.004047810100018978,7659.830078125,4047810.0
2018-07-25,0.0039728498086333275,0.004235059954226017,0.0038782500196248293,0.0040871500968933105,7952.31982421875,4087150.0
2018-07-26,0.004085709806531668,0.004305759910494089,0.004009169992059469,0.004056519828736782,18430.69921875,4056520.0
2018-07-27,0.0040543098002672195,0.004112729802727699,0.003830899950116873,0.00391416996717453,18456.19921875,3914170.0
2018-07-28,0.003922290168702602,0.004178429953753948,0.0038462199736386538,0.004011140204966068,5077.85986328125,4011140.0
2018-07-29,0.004027289804071188,0.004053920041769743,0.003514080075547099,0.003860820084810257,26732.80078125,3860820.0
2018-07-30,0.00386308,0.00411871,0.00370181,0.0039323,5410.29,3932300.0
2018-07-31,0.00392487,0.00398782,0.00337211,0.00363773,6443.79,3637730.0
2018-08-01,0.00364097,0.00364272,0.00321941,0.00334752,4613.43,3347520.0
2018-08-02,0.00334935,0.00344596,0.00322797,0.0032432,6361.59,3243200.0
2018-08-03,0.00324286,0.00341044,0.00295737,0.0031871,32331.6,3187100.0
2018-08-04,0.0031917,0.00329306,0.00279527,0.00301462,3595.95,3014620.0
2018-08-05,0.00301597,0.00304929,0.00283898,0.00302849,3312.98,3028490.0
2018-08-06,0.00303213,0.00307752,0.00282693,0.00291539,5871.35,2915390.0
2018-08-07,0.00291427,0.00306307,0.00281962,0.00282183,4665.33,2821830.0
2018-08-08,0.00282494,0.00286511,0.00246745,0.0026327,3086.43,2632700.0
2018-08-09,0.00263866,0.00277664,0.00252625,0.00261843,4481.68,2618430.0
2018-08-10,0.00261573,0.00278025,0.00249687,0.00252724,2613.58,2527240.0
2018-08-11,0.00252482,0.00264609,0.00243723,0.00250969,2757.05,2509690.0
2018-08-12,0.00262729,0.00267371,0.00247859,0.00259353,658.607,2593530.0
2018-08-13,0.00259261,0.00260492,0.00216377,0.00225718,19577.6,2257180.0
2018-08-14,0.00219248,0.00246254,0.00191468,0.00235673,13506.2,2356730.0
2018-08-15,0.00235482,0.00259686,0.00235482,0.00245059,4967.93,2450590.0
2018-08-16,0.00244713,0.0024492,0.002135,0.0022747,1968.12,2274700.0
2018-08-17,0.00227487,0.00266986,0.00215488,0.00256428,8221.9,2564280.0
2018-08-18,0.00257018,0.00257821,0.00234165,0.00243259,3089.38,2432590.0
2018-08-19,0.0023053,0.00244878,0.00222957,0.00233857,2241.99,2338570.0
2018-08-20,0.00233475,0.0025814,0.00213704,0.0023269,16249.8,2326900.0
2018-08-21,0.0023235,0.00246942,0.00232314,0.00246388,1213.22,2463880.0
2018-08-22,0.00246438,0.00256239,0.00220266,0.00235545,8469.14,2355450.0
2018-08-23,0.00229236,0.00251739,0.0022881,0.00248371,2692.76,2483710.0
2018-08-24,0.00248569,0.00255707,0.00235019,0.00255003,1539.3,2550030.0
2018-08-25,0.00254545,0.00257712,0.00240871,0.00242917,2345.93,2429170.0
2018-08-26,0.0024344,0.00243887,0.00233197,0.0024199,1849.6,2419900.0
2018-08-27,0.00241877,0.00243695,0.00228232,0.00241446,1414.04,2414460.0
2018-08-28,0.00240973,0.00256195,0.00240898,0.00255068,5919.17,2550680.0
2018-08-29,0.0025529,0.00274512,0.00245962,0.00267551,7953.05,2675510.0
2018-08-30,0.00246564,0.00268602,0.00238964,0.00251549,7395.67,2515490.0
2018-08-31,0.00251797,0.00281948,0.00236385,0.00267854,31116.9,2678540.0
2018-09-01,0.00288651,0.00458949,0.00274441,0.00402448,182065.0,4024480.0
2018-09-02,0.00402633,0.00491341,0.00358763,0.00415501,160530.0,4155010.0
2018-09-03,0.00415403,0.00428253,0.00371456,0.00392439,41454.3,3924390.0
2018-09-04,0.00392441,0.00405823,0.00375213,0.00382409,21076.5,3824090.0
2018-09-05,0.00382724,0.00393652,0.00341971,0.00348573,24760.8,3485730.0
2018-09-06,0.0034919,0.00355258,0.00303171,0.00331957,10456.0,3319570.0
2018-09-07,0.00338094,0.00352753,0.00315443,0.00316012,6377.73,3160120.0
2018-09-08,0.00316402,0.00319218,0.00265019,0.00272402,9526.09,2724020.0
2018-09-09,0.00272274,0.00282589,0.0023089,0.00231761,73750.1,2317610.0
2018-09-10,0.00231633,0.00277956,0.00226474,0.0024623,57151.4,2462300.0
2018-09-11,0.00246642,0.00279332,0.00237238,0.00251808,38821.1,2518080.0
2018-09-12,0.00251839,0.00257414,0.00237187,0.00247129,19557.2,2471290.0
