Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,23.239299774169922,25.510299682617188,22.50629997253418,23.812000274658203,6425240.0,124821331.706
2018-07-05,23.755300521850586,24.43790054321289,22.435199737548828,23.701099395751953,8216950.0,124239977.368
2018-07-06,23.74250030517578,23.905500411987305,22.32029914855957,23.365999221801758,6189560.0,122729870.075
2018-07-07,23.307100296020508,23.516300201416016,22.46660041809082,23.47599983215332,6724880.0,123307619.611
2018-07-08,23.460800170898438,23.624300003051758,21.002300262451172,21.508699417114258,6934970.0,112974256.575
2018-07-09,21.421600341796875,22.145200729370117,20.871999740600586,21.326000213623047,7253490.0,112014716.986
2018-07-10,21.340200424194336,21.504600524902344,17.710800170898438,17.710800170898438,4225790.0,93025881.8884
2018-07-11,18.229900360107422,18.630599975585938,16.945199966430664,17.255599975585938,5803660.0,90634930.6577
2018-07-12,17.21139907836914,17.22949981689453,15.065500259399414,15.934300422668457,6534590.0,83694794.4836
2018-07-13,16.13170051574707,17.082700729370117,16.13170051574707,16.640199661254883,6032210.0,87402433.2678
2018-07-14,16.65060043334961,16.82830047607422,15.878399848937988,16.656299591064453,2576400.0,87487072.7308
2018-07-15,16.65169906616211,17.327800750732422,16.549299240112305,17.214799880981445,4670650.0,90654183.6536
2018-07-16,17.2273006439209,20.210100173950195,17.190900802612305,19.718799591064453,4905580.0,103840389.506
2018-07-17,19.792699813842773,21.867700576782227,18.928800582885742,21.164899826049805,6973350.0,111455516.562
2018-07-18,21.116600036621094,22.026399612426758,19.934099197387695,20.114900588989258,6102600.0,105931717.272
2018-07-19,20.072999954223633,20.072999954223633,18.477100372314453,18.774799346923828,2663360.0,98874291.34
2018-07-20,18.854299545288086,18.854299545288086,16.16469955444336,16.52090072631836,2076850.0,87004497.3751
2018-07-21,16.54990005493164,17.546300888061523,16.12459945678711,17.00790023803711,1603170.0,89569852.7403
2018-07-22,17.01059913635254,17.137500762939453,16.612899780273438,16.733299255371094,6524810.0,88123614.8242
2018-07-23,16.67340087890625,18.094900131225586,16.613100051879883,16.692899703979492,10941700.0,88974357.4863
2018-07-24,16.64310073852539,17.417600631713867,16.246700286865234,17.177099227905273,12090300.0,91555257.3438
2018-07-25,16.966100692749023,18.41320037841797,16.88920021057129,18.090200424194336,11462900.0,96422141.8861
2018-07-26,18.079299926757812,18.568300247192383,16.022300720214844,16.28890037536621,9407740.0,86820988.1234
2018-07-27,16.301599502563477,16.993499755859375,16.10569953918457,16.811399459838867,9876810.0,89606519.9508
2018-07-28,16.821500778198242,16.872900009155273,15.839400291442871,16.285999298095703,9584550.0,86806156.8772
2018-07-29,16.37820053100586,16.4158992767334,15.767000198364258,16.211299896240234,10226900.0,86407990.9248
2018-07-30,16.2287,16.6101,15.6867,16.0785,4214460.0,85700144.852
2018-07-31,16.0546,16.0969,13.5927,14.9012,4207270.0,79500904.238
2018-08-01,14.9338,15.0481,11.6757,12.788,8965800.0,92915017.5739
2018-08-02,12.8223,13.7052,12.0893,12.3979,4730030.0,90080620.8652
2018-08-03,12.4005,12.4005,11.6952,12.1082,3985210.0,88702180.0932
2018-08-04,12.1053,12.1781,10.4166,10.8646,3983560.0,79591817.037
2018-08-05,10.8708,11.2179,10.485,10.9666,4062600.0,80339042.9155
2018-08-06,10.9664,11.1312,9.84307,9.98985,4304920.0,73183567.8578
2018-08-07,9.99843,11.6084,9.95096,10.03,4327980.0,73477690.9041
2018-08-08,9.99801,10.3867,8.50278,8.83361,4033030.0,64713177.4145
2018-08-09,8.8228,9.57238,8.42821,9.24886,4177020.0,67755201.65
2018-08-10,9.24706,9.30378,8.0091,8.09603,3847950.0,59848897.6093
2018-08-11,8.21241,8.21423,6.59408,7.06071,4655710.0,52195415.8479
2018-08-12,7.11819,7.30487,6.94552,7.14964,2935860.0,52852813.7422
2018-08-13,7.15459,7.40449,6.48939,6.59347,1974290.0,48741389.463
2018-08-14,6.5915,6.61046,5.35005,6.281,2534420.0,46495159.6165
2018-08-15,6.33698,7.25424,6.27684,6.78753,2291490.0,50249307.1445
2018-08-16,6.79664,7.64319,6.72875,7.23728,2512830.0,53832609.6259
2018-08-17,7.25933,10.8355,7.25933,10.6554,4947720.0,79257364.4144
2018-08-18,10.755,11.0071,8.56657,9.48208,4318110.0,70529923.847
2018-08-19,9.41216,9.98062,9.04068,9.89096,2382770.0,73586102.4679
2018-08-20,9.94097,10.3662,9.00065,9.24708,3218980.0,68795794.4801
2018-08-21,9.24567,9.50798,8.83111,9.32422,2215410.0,73597435.9435
2018-08-22,9.30969,9.71888,8.47931,8.71614,2421160.0,68877953.9668
2018-08-23,8.75135,9.72301,8.7166,9.72301,2485420.0,76834533.2383
2018-08-24,9.71733,10.6154,9.4693,10.5709,4635520.0,83534839.7069
2018-08-25,10.5292,11.4747,10.1023,10.9868,4632860.0,86821466.8279
2018-08-26,11.0051,11.415,10.2566,10.8463,4880140.0,85761364.2707
2018-08-27,10.8836,11.0134,10.2528,10.5946,4298860.0,83824065.1298
2018-08-28,10.6937,11.0138,10.3975,10.9254,4424290.0,86495756.9448
2018-08-29,10.9438,10.9682,9.82226,9.96899,5947610.0,78973535.3714
