Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,3.9277100563049316,4.758950233459473,3.7109100818634033,4.575850009918213,7842.16015625,2880998.82734
2018-07-05,4.58834981918335,4.760300159454346,4.304349899291992,4.613259792327881,3895.659912109375,2904552.52034
2018-07-06,4.612299919128418,4.994699954986572,4.604629993438721,4.853020191192627,2435.0,3055507.70437
2018-07-07,4.845719814300537,4.956230163574219,4.371049880981445,4.565120220184326,2473.719970703125,2874243.11694
2018-07-08,4.5599799156188965,5.033430099487305,4.51977014541626,4.605519771575928,2756.2900390625,2899679.34248
2018-07-09,4.604519844055176,4.791059970855713,4.014880180358887,4.595719814300537,3524.860107421875,2893509.16896
2018-07-10,4.592490196228027,4.744379997253418,4.018229961395264,4.37116003036499,1244.8900146484375,2752124.04998
2018-07-11,4.3713297843933105,4.602799892425537,3.9186699390411377,3.949090003967285,2495.419921875,2486384.75017
2018-07-12,3.9492499828338623,4.363749980926514,2.6472599506378174,3.2903599739074707,15229.0,2071642.05591
2018-07-13,3.2938599586486816,4.215240001678467,2.6484200954437256,4.215240001678467,4618.080078125,2653955.33004
2018-07-14,4.20497989654541,8.847530364990234,2.0735599994659424,2.84375,38845.6015625,1790452.13791
2018-07-15,2.842989921569824,6.4000701904296875,2.7317700386047363,3.664680004119873,6669.4501953125,2307317.50004
2018-07-16,3.6687099933624268,5.766019821166992,3.1137900352478027,4.658760070800781,53765.5,2933199.75455
2018-07-17,4.647270202636719,4.995069980621338,4.049689769744873,4.313509941101074,7327.25,2715827.05983
2018-07-18,4.3119401931762695,5.598229885101318,4.3119401931762695,4.937699794769287,7548.31005859375,3108823.04047
2018-07-19,4.935349941253662,6.3617401123046875,4.450650215148926,4.894430160522461,11933.099609375,3081579.83555
2018-07-20,4.897799968719482,5.326560020446777,4.285920143127441,5.304959774017334,4718.56005859375,3340053.44123
2018-07-21,5.303800106048584,5.448480129241943,4.27318000793457,4.789460182189941,3598.760009765625,3015489.72182
2018-07-22,4.788119792938232,5.334539890289307,3.9005300998687744,4.892789840698242,5497.14990234375,3080547.27589
2018-07-23,4.887110233306885,4.887110233306885,3.8923399448394775,4.341529846191406,8156.740234375,2733468.71922
2018-07-24,4.3468499183654785,5.107480049133301,4.152060031890869,4.877880096435547,9210.1396484375,3071159.79761
2018-07-25,4.653979778289795,4.939000129699707,4.274179935455322,4.421679973602295,4273.39013671875,2783931.92409
2018-07-26,4.420380115509033,4.991909980773926,3.8269200325012207,3.8664400577545166,14677.2998046875,2434347.52144
2018-07-27,3.86434006690979,4.319089889526367,3.3002700805664062,4.279880046844482,9924.0400390625,2694653.29089
2018-07-28,4.28872013092041,4.3745598793029785,3.2127699851989746,3.48157000541687,7902.2900390625,2192029.69662
2018-07-29,3.494770050048828,4.073150157928467,2.363219976425171,2.601569890975952,6400.2099609375,1637973.29878
2018-07-30,2.60273,4.20045,2.14245,3.87867,3682.89,2442047.64615
2018-07-31,3.87138,4.23833,2.99654,3.82942,10908.4,2411039.37616
2018-08-01,3.83264,3.96682,2.93936,3.39879,5288.17,2139910.61865
2018-08-02,3.38127,4.14042,3.03382,3.77051,4830.3,2373949.07798
2018-08-03,3.77787,3.97557,2.88664,2.8994,8001.73,1825489.90897
2018-08-04,3.19937,3.79241,2.88493,3.37252,3211.79,2123370.77596
2018-08-05,3.94844,3.96199,2.7004,3.45305,3898.75,2174073.23246
2018-08-06,3.45716,3.87015,2.82342,3.02587,4258.97,1905116.62788
2018-08-07,2.87407,3.89201,2.65359,2.65359,5240.22,1670725.58721
2018-08-08,3.50709,3.50709,2.449,2.79437,4776.48,1759362.01867
2018-08-09,2.78965,3.02471,2.42579,2.76775,3296.66,1742601.81264
2018-08-10,2.76489,3.0124,2.52411,2.79593,2682.02,1760344.20956
2018-08-11,2.61023,3.00944,2.4714,2.71407,3743.52,1708804.37237
2018-08-12,2.81798,2.84642,2.44895,2.46393,4741.93,1551313.84128
2018-08-13,2.4631,2.83015,2.3314,2.40599,7825.84,1514834.26436
2018-08-14,2.40382,2.82738,2.18997,2.28968,7864.29,1441604.37842
2018-08-15,2.28866,2.85518,2.28866,2.30947,6108.63,1454064.35127
2018-08-16,2.30672,15.697,2.01186,2.73635,10170.5,1722832.07299
2018-08-17,2.73757,3.65333,2.24617,2.58628,9029.63,1628346.56887
2018-08-18,2.5923,3.81043,2.39867,3.41732,7784.86,2151577.28348
2018-08-19,3.41851,3.57487,2.5071,2.60736,5439.79,1641618.73804
2018-08-20,2.60349,2.78846,2.18201,2.6272,3514.01,1654110.19137
2018-08-21,2.62336,5.8788,2.24431,2.25588,10869.5,1420323.57586
2018-08-22,2.25632,12.3619,2.24461,12.3619,23600.6,7783170.20961
2018-08-23,12.7871,23.2628,2.16928,2.33799,68360.7,1472020.81544
2018-08-24,2.34953,3.66436,2.34953,3.6506,6637.87,2298452.59768
2018-08-25,3.64404,3.81217,2.88294,3.51183,5656.69,2211081.68139
2018-08-26,3.51938,3.70669,2.70768,2.79851,6821.66,1761968.60218
2018-08-27,2.7973,3.16967,2.69257,2.97748,6504.6,1874649.82209
2018-08-28,2.97165,3.16941,2.48916,2.92486,11912.7,1841519.76794
2018-08-29,2.92701,2.96673,2.45517,2.57026,8526.82,1618260.22399
2018-08-30,2.57167,3.06601,2.33019,2.39784,6828.1,1509702.94659
2018-08-31,2.40016,3.03413,2.39562,2.99221,12314.1,1883923.97066
2018-09-01,2.8367,3.7362,2.61033,3.50917,6671.43,2209406.92001
2018-09-02,3.50973,4.69788,2.8007,3.17654,9405.47,1999979.89772
2018-09-03,3.17591,4.5149,2.96828,3.03324,12317.9,1909756.85021
2018-09-04,3.03325,4.50246,3.02551,4.12808,6758.96,2599078.56227
2018-09-05,4.13148,4.48098,2.19914,2.63283,8966.18,1657654.8931
2018-09-06,2.63752,3.39283,2.35648,2.90389,6859.44,1828316.85582
2018-09-07,2.9011,3.46075,2.42642,2.94142,8044.21,1851946.10197
2018-09-08,3.04552,3.05962,2.40777,2.66637,5400.1,1678771.99717
2018-09-09,2.66511,3.04247,2.44786,2.84273,6289.65,1789809.93617
2018-09-10,2.84121,3.07919,2.55951,2.81799,6771.06,1774233.39608
2018-09-11,2.82266,2.97191,2.66224,2.95123,8011.34,1858122.57159
2018-09-12,2.95158,3.00394,2.5484,2.58502,6592.26,1627553.26085
2018-09-13,2.58728,2.93725,1.99085,2.75036,6594.27,1731652.90269
2018-09-14,2.74867,2.95797,2.19516,2.64372,6690.04,1664511.34102
2018-09-15,2.64019,2.93955,2.34637,2.65987,11708.0,1674679.53514
2018-09-16,2.66734,2.76568,2.29161,2.48983,6208.66,1567620.72845
2018-09-17,2.49589,2.77152,2.3462,2.69578,9468.76,1697288.81383
2018-09-18,2.69605,2.81564,2.39508,2.77585,7370.62,1747701.64994
2018-09-19,2.77741,2.78671,2.46657,2.65607,10421.2,1672287.01888
2018-09-20,2.65724,2.9421,2.59601,2.81553,9226.36,1772684.5566
2018-09-21,2.81633,3.25655,2.61095,3.13074,11779.7,1971143.78065
2018-09-22,3.13316,3.28053,2.98544,3.1294,6397.57,1970300.10386
2018-09-23,3.13097,3.59284,2.94202,3.58349,12453.7,2256199.50125
2018-09-24,3.58498,3.66175,2.94126,3.03384,5765.74,1910134.61594
2018-09-25,3.11267,3.30784,2.71415,2.96178,7928.73,1864764.95227
2018-09-26,2.95754,3.25559,2.79141,3.20129,6857.92,2015562.73391
2018-09-27,3.2052,3.45499,2.19312,3.0443,14586.8,1916720.33175
2018-09-28,3.0258,6.24176,2.98347,4.08355,12713.1,2571042.04932
2018-09-29,4.08069,4.83581,3.15286,3.61004,10287.9,2272915.63461
2018-09-30,3.60866,3.60866,2.62768,2.82076,12220.6,1775977.41451
2018-10-01,2.81234,3.13552,2.59335,3.05717,5915.08,1924823.40657
2018-10-02,3.04852,3.30153,2.59731,2.96219,8588.01,1865023.09218
2018-10-03,2.96367,3.16476,2.72197,2.89005,6173.96,1819603.05975
2018-10-04,2.89345,3.22885,2.7683,2.88871,6722.49,1818759.38296
2018-10-05,2.80979,3.15203,2.54881,2.89003,9784.36,1819590.46756
