Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,29.432600021362305,30.6156005859375,29.083799362182617,29.62700080871582,193867.0,17758423.8
2018-07-05,29.682600021362305,30.08370018005371,28.500999450683594,28.85260009765625,204355.0,17294248.44
2018-07-06,28.806100845336914,29.141300201416016,28.29290008544922,29.0575008392334,163725.0,17417065.5
2018-07-07,29.03420066833496,29.132299423217773,26.43779945373535,26.910200119018555,201535.0,16129973.88
2018-07-08,26.861900329589844,28.086200714111328,26.111400604248047,27.18600082397461,270308.0,16295288.4
2018-07-09,27.200300216674805,27.255399703979492,26.76449966430664,26.797300338745117,185379.0,16062301.62
2018-07-10,26.769500732421875,26.85260009765625,23.296899795532227,23.296899795532227,187965.0,13964161.86
2018-07-11,23.30470085144043,23.613100051879883,23.186800003051758,23.46109962463379,151905.0,14062583.34
2018-07-12,23.4596004486084,23.471399307250977,21.98069953918457,22.164400100708008,174567.0,13285341.36
2018-07-13,22.201099395751953,23.016599655151367,22.143999099731445,22.265199661254883,207328.0,13345760.88
2018-07-14,22.279199600219727,22.371999740600586,22.079200744628906,22.223499298095703,175375.0,13320765.9
2018-07-15,22.21380043029785,22.857900619506836,22.15060043334961,22.665199279785156,163368.0,13585520.88
2018-07-16,22.68560028076172,23.93560028076172,22.63010025024414,23.93560028076172,204019.0,14346998.64
2018-07-17,23.89310073852539,26.064699172973633,23.552900314331055,25.94729995727539,257280.0,15552811.62
2018-07-18,25.917699813842773,26.579099655151367,25.49020004272461,25.711599349975586,214616.0,15411533.04
2018-07-19,25.717500686645508,25.717500686645508,24.629499435424805,24.88450050354004,195870.0,14915769.3
2018-07-20,24.89229965209961,24.92099952697754,21.67889976501465,21.724899291992188,231422.0,13021905.06
2018-07-21,21.717199325561523,22.882299423217773,21.59980010986328,22.773300170898438,212660.0,13650316.02
2018-07-22,22.77039909362793,22.928600311279297,22.42020034790039,22.5231990814209,194601.0,13500406.08
2018-07-23,22.51129913330078,23.92770004272461,21.332599639892578,21.425899505615234,255694.0,12842684.46
2018-07-24,21.435300827026367,22.68910026550293,21.2637996673584,21.41710090637207,234141.0,12837409.74
2018-07-25,21.24650001525879,21.829700469970703,20.20240020751953,20.685100555419922,211911.0,12398648.94
2018-07-26,20.671499252319336,20.957500457763672,18.88920021057129,18.980199813842773,208221.0,11376731.88
2018-07-27,18.984899520874023,19.445499420166016,18.808000564575195,19.273099899291992,185978.0,11552296.14
2018-07-28,19.28380012512207,19.359899520874023,18.89150047302246,18.956100463867188,145637.0,11362286.34
2018-07-29,18.970600128173828,19.24799919128418,18.86370086669922,19.194599151611328,165836.0,11505243.24
2018-07-30,19.1949,19.2131,17.8009,18.2067,155679.0,10913095.98
2018-07-31,18.2105,18.2135,17.0706,17.189,125454.0,10303086.6
2018-08-01,17.1795,19.401,16.7585,17.6926,334298.0,10604944.44
2018-08-02,17.5839,17.8744,15.9722,16.2561,293586.0,9743906.34
2018-08-03,16.2668,22.3566,14.9993,18.9307,1419280.0,11347061.58
2018-08-04,18.9249,23.707,16.9537,17.9208,382299.0,10741727.52
2018-08-05,17.5091,17.9736,16.3843,17.3389,333186.0,10392936.66
2018-08-06,17.3542,17.5592,16.5333,16.8816,313304.0,10118831.04
2018-08-07,16.8758,19.7301,12.9422,13.9126,919893.0,8339212.44
2018-08-08,13.9803,15.005,12.2507,12.9228,441488.0,7745926.32
2018-08-09,12.7093,13.579,11.6047,12.306,1101610.0,7376216.4
2018-08-10,12.3133,12.3174,10.0401,10.1742,209631.0,6098415.48
2018-08-11,10.18,10.4851,9.04599,9.32231,720641.0,5587792.614
2018-08-12,9.28549,10.2084,8.80384,9.87934,460729.0,5921676.396
2018-08-13,9.89646,12.2562,6.94738,7.16885,1051230.0,4297008.69
2018-08-14,7.16683,7.402,5.22016,6.19432,574433.0,3712875.408
2018-08-15,6.21791,7.33841,5.58697,5.60325,718402.0,3358588.05
2018-08-16,5.84002,6.05849,5.40873,5.83139,358781.0,3495335.166
2018-08-17,5.76829,7.08619,5.63355,6.70712,957868.0,4020247.728
2018-08-18,6.74127,7.8972,6.35364,7.32882,1491620.0,4392894.708
2018-08-19,7.34764,8.17501,6.77284,6.77533,415430.0,4061132.802
2018-08-20,6.77215,7.17862,6.60574,7.05889,220582.0,4231098.666
2018-08-21,7.0598,7.24915,4.36324,5.96309,242846.0,3574276.146
2018-08-22,5.95804,6.43619,5.43559,5.56158,429373.0,3333611.052
2018-08-23,5.54268,5.98349,5.2943,5.44316,714282.0,3262630.104
2018-08-24,5.44038,5.59745,5.18928,5.39302,348649.0,3232576.188
2018-08-25,5.29573,5.38516,5.20105,5.33184,131224.0,3195904.896
2018-08-26,5.33326,5.49226,5.17295,5.18038,123475.0,3105119.772
2018-08-27,5.18238,5.30765,4.8755,5.07183,184837.0,3040054.902
2018-08-28,5.05943,7.11981,4.98342,6.86406,677692.0,4114317.564
2018-08-29,6.84686,7.5873,6.58416,7.54148,340708.0,4520363.112
2018-08-30,7.54106,7.61393,6.98892,7.32957,270836.0,4393344.258
2018-08-31,7.32472,7.59337,7.04139,7.3807,421852.0,4423991.58
2018-09-01,7.37872,8.04621,7.37872,7.91491,308045.0,4744197.054
2018-09-02,7.91721,8.13967,7.87913,8.11392,284971.0,4863483.648
2018-09-03,8.12021,12.1756,7.87311,11.7176,1241780.0,7023529.44
2018-09-04,11.6965,21.0958,11.6355,13.9034,1680790.0,8333697.96
2018-09-05,13.9685,18.3454,12.9798,13.6577,626350.0,8186425.38
2018-09-06,13.6659,13.6659,11.7228,12.1206,444945.0,7265087.64
2018-09-07,12.1271,12.1271,10.9344,11.9265,253146.0,7148744.1
2018-09-08,11.9448,12.0669,10.478,10.6389,158340.0,6376956.66
2018-09-09,10.6209,11.6726,10.1477,11.2811,184980.0,6761891.34
2018-09-10,11.2798,11.4014,10.6398,10.8205,295589.0,6485807.7
2018-09-11,10.802,11.0087,9.74674,9.99806,655543.0,5992837.164
2018-09-12,9.99657,10.1172,7.65358,9.12048,517623.0,5466815.712
2018-09-13,9.18501,12.0532,8.93337,11.3997,1450000.0,6832980.18
2018-09-14,11.2043,12.8312,10.7111,11.3581,389932.0,6808045.14
2018-09-15,11.3478,11.8006,11.0786,11.536,200666.0,6914678.4
2018-09-16,11.549,11.8644,11.1091,11.5322,363374.0,6912400.68
2018-09-17,11.5313,11.9409,10.4168,10.47,170947.0,6275718.0
2018-09-18,10.4675,10.5115,9.0427,9.70094,322367.0,5814743.436
2018-09-19,9.70553,9.78344,9.31101,9.70942,146717.0,5819826.348
2018-09-20,9.72945,10.047,9.52437,10.0199,124930.0,6005928.06
2018-09-21,10.0156,12.9169,9.94753,12.697,393635.0,7610581.8
2018-09-22,12.722,13.1245,12.2195,12.3521,188093.0,7403848.74
2018-09-23,12.3695,12.3946,10.669,11.0711,697037.0,6636017.34
2018-09-24,11.0875,11.1979,10.2347,10.2763,203071.0,6159614.22
2018-09-25,10.2792,10.2803,9.20713,9.24571,215813.0,5541878.574
2018-09-26,9.26991,10.2367,9.16535,10.2134,178555.0,6121911.96
