Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,4.484250068664551,5.065090179443359,4.391809940338135,4.683599948883057,401274.0,46956598.6683
2018-07-05,4.689720153808594,5.0187201499938965,4.615950107574463,4.739799976348877,352129.0,47525536.329
2018-07-06,4.737929821014404,4.945129871368408,4.618420124053955,4.92710018157959,312293.0,49409203.0614
2018-07-07,4.9303998947143555,5.2001800537109375,4.765610218048096,4.899670124053955,282826.0,49139767.9059
2018-07-08,4.887609958648682,4.960690021514893,4.834229946136475,4.834229946136475,245338.0,48489031.7459
2018-07-09,4.835929870605469,5.126259803771973,4.811639785766602,4.94582986831665,268701.0,49614115.5271
2018-07-10,4.935190200805664,5.030409812927246,4.584169864654541,4.5865302085876465,211431.0,46015079.2555
2018-07-11,4.586349964141846,4.948150157928467,4.586190223693848,4.811890125274658,291248.0,48281646.8066
2018-07-12,4.804440021514893,4.804629802703857,4.397870063781738,4.490409851074219,226878.0,45061119.8402
2018-07-13,4.501309871673584,5.108280181884766,4.485290050506592,4.977849960327148,510824.0,49958308.4871
2018-07-14,4.962979793548584,5.065629959106445,4.507589817047119,4.6426100730896,318911.0,46599135.3514
2018-07-15,4.636109828948975,4.9199299812316895,4.620500087738037,4.8891401290893555,253487.0,49079274.39
2018-07-16,4.893869876861572,5.504889965057373,4.876870155334473,5.214739799499512,658454.0,52353797.6928
2018-07-17,5.21697998046875,5.583199977874756,5.033549785614014,5.548989772796631,373053.0,55715428.0095
2018-07-18,5.555469989776611,5.992499828338623,5.555469989776611,5.787680149078369,435852.0,58117439.2597
2018-07-19,5.790369987487793,6.044020175933838,5.438720226287842,5.564620018005371,406225.0,55882691.6012
2018-07-20,5.582240104675293,5.669040203094482,5.200230121612549,5.223899841308594,278600.0,52465831.0476
2018-07-21,5.220759868621826,5.822810173034668,5.111209869384766,5.579830169677734,322504.0,56045769.4141
2018-07-22,5.575560092926025,5.9192399978637695,5.497859954833984,5.7606000900268555,291288.0,57866871.7664
2018-07-23,5.754270076751709,6.086150169372559,5.478139877319336,5.626999855041504,388212.0,56530028.8768
2018-07-24,5.632750034332275,6.423490047454834,5.476240158081055,5.768740177154541,579468.0,57959289.1333
2018-07-25,5.655489921569824,5.764900207519531,5.345759868621826,5.529029846191406,370861.0,55556022.5512
2018-07-26,5.526350021362305,6.075049877166748,5.252019882202148,5.27878999710083,343276.0,53046448.3092
2018-07-27,5.278200149536133,5.730730056762695,5.227039813995361,5.558189868927002,336838.0,55859310.7951
2018-07-28,5.575739860534668,5.885550022125244,5.552509784698486,5.811039924621582,337753.0,58406740.2563
2018-07-29,5.8340301513671875,6.158420085906982,5.636889934539795,5.912320137023926,438627.0,59430143.0744
2018-07-30,5.91636,5.93479,5.52223,5.68385,329641.0,57137615.2973
2018-07-31,5.67623,5.73439,5.19323,5.22804,312343.0,52560350.5889
2018-08-01,5.2203,5.3386,4.61473,5.01569,452180.0,50420653.4415
2018-08-02,5.02533,5.2358,4.64032,4.77254,318518.0,47989607.416
2018-08-03,4.77133,5.1925,4.45499,4.86752,327969.0,48949144.7507
2018-08-04,4.87526,4.97222,4.53489,4.55801,253648.0,45840792.0425
2018-08-05,4.55072,4.75595,4.45797,4.65132,248780.0,46781755.227
2018-08-06,4.65932,5.09345,4.56612,4.847,315754.0,48754308.9929
2018-08-07,4.82718,4.96307,4.50282,4.50661,269681.0,45335499.9108
2018-08-08,4.51306,4.51306,4.18241,4.25795,209101.0,42837966.1601
2018-08-09,4.25533,4.52656,4.20983,4.44607,248294.0,35877472.9436
2018-08-10,4.44764,4.46522,3.78653,3.86073,239097.0,31154083.5204
2018-08-11,3.854,3.89992,3.44049,3.79313,238137.0,30608586.6724
2018-08-12,3.78714,4.16279,3.75068,4.06658,228967.0,32815185.9784
2018-08-13,4.06592,4.22709,3.77903,3.96859,246092.0,32024457.6332
2018-08-14,3.96517,3.96517,3.25096,3.48489,201346.0,28121250.1572
2018-08-15,3.49347,4.40245,3.49347,3.77582,287853.0,30468903.9736
2018-08-16,3.77027,4.01372,3.74015,3.82319,212850.0,30851155.2412
2018-08-17,3.82346,4.18541,3.80149,4.1631,201080.0,33594052.188
2018-08-18,4.17163,4.17163,3.66345,3.75232,29391.3,30279271.1936
2018-08-19,3.75339,3.8345,3.57306,3.69196,203339.0,29792197.3808
2018-08-20,3.69074,3.72654,3.23732,3.27788,247077.0,26450787.1024
2018-08-21,3.26677,3.29528,2.84059,3.11362,609325.0,25125294.3176
2018-08-22,3.10811,3.27836,2.62324,2.93945,379444.0,23719832.986
2018-08-23,2.93011,3.05051,2.82269,3.00623,80277.1,24258712.8604
2018-08-24,3.01025,3.12188,2.89437,3.07914,253488.0,24847058.6472
2018-08-25,3.07719,3.10827,2.983,3.07527,173365.0,24815829.7596
2018-08-26,3.0857,3.19294,3.02924,3.09188,206125.0,24949863.8224
2018-08-27,3.09246,3.23647,3.04734,3.23647,225929.0,26116629.9356
2018-08-28,3.22274,3.62598,3.21825,3.40545,339417.0,27480210.666
2018-08-29,3.40572,3.63152,3.32721,3.52072,235268.0,28410379.6256
2018-08-30,3.5388,3.55437,3.26054,3.35398,210050.0,27064874.5304
2018-08-31,3.35864,3.43094,3.16983,3.2854,237399.0,26511469.592
2018-09-01,3.28483,3.64455,3.10975,3.60715,293193.0,29107824.782
2018-09-02,3.59171,3.69492,3.38445,3.55275,314518.0,28668845.07
2018-09-03,3.54495,3.5901,3.35264,3.37095,225155.0,27201813.606
2018-09-04,3.36808,3.63664,3.3611,3.60029,334747.0,29052468.1492
2018-09-05,3.61158,3.66515,3.01874,3.01874,229951.0,24359662.0552
2018-09-06,3.0282,3.0282,2.77833,2.94761,175003.0,23785679.9428
2018-09-07,2.94113,3.07424,2.89752,3.01146,164785.0,24300916.2408
2018-09-08,3.02168,3.08197,2.75163,2.75163,164817.0,22204223.2524
2018-09-09,2.75458,2.99178,2.72065,2.78271,168817.0,22455022.6908
2018-09-10,2.78362,2.95989,2.77595,2.95152,184062.0,23817231.6096
2018-09-11,2.9564,2.97186,2.61975,2.63047,214800.0,21226525.0556
2018-09-12,2.63121,2.63592,2.20124,2.49339,238135.0,20120360.7372
2018-09-13,2.49319,2.65396,2.46389,2.63106,160237.0,21231286.0488
2018-09-14,2.63219,2.68566,2.51917,2.62711,181719.0,21199411.6028
2018-09-15,2.62472,2.65188,2.56824,2.59137,145622.0,20911008.3876
2018-09-16,2.60315,2.72259,2.52695,2.70197,166704.0,21803492.8756
2018-09-17,2.71162,2.71162,2.40231,2.45958,189599.0,19847531.6184
2018-09-18,2.46378,2.55042,2.44387,2.52928,151980.0,20409974.3744
2018-09-19,2.52735,2.66351,2.52204,2.59786,173136.0,20963379.3128
2018-09-20,2.59476,2.65221,2.54122,2.65221,156499.0,21401955.5508
2018-09-21,2.652,2.76431,2.62022,2.73448,204722.0,22065831.6704
2018-09-22,2.73776,2.78158,2.59666,2.64097,163495.0,21311254.5956
2018-09-23,2.63697,2.76312,2.62237,2.66916,173285.0,21538733.2368
2018-09-24,2.67245,2.76968,2.61157,2.7378,154392.0,22092622.344
2018-09-25,2.73331,2.73427,2.49335,2.55601,187361.0,20625671.5748
2018-09-26,2.55094,2.78203,2.53491,2.65074,242513.0,21390093.4152
2018-09-27,2.65845,2.92673,2.53913,2.87658,317997.0,23212504.7784
2018-09-28,2.88064,2.9494,2.7322,2.75417,163088.0,22224719.7316
2018-09-29,2.75058,2.90972,2.69412,2.88161,188202.0,23253094.2628
2018-09-30,2.87217,2.89816,2.69756,2.7641,172466.0,22304849.668
2018-10-01,2.75586,2.82347,2.72088,2.77405,157957.0,22385140.994
2018-10-02,2.76694,2.77977,2.70141,2.71756,156915.0,21929296.0688
2018-10-03,2.71181,2.73658,2.61478,2.66919,147964.0,21538975.3212
2018-10-04,2.67025,2.72141,2.5266,2.59336,188883.0,20927066.6528
2018-10-05,2.58851,2.71437,2.56855,2.69899,149280.0,21779445.8252
2018-10-06,2.70503,2.71418,2.6703,2.67861,143430.0,21614989.8228
2018-10-07,2.68976,2.72011,2.62386,2.70698,150133.0,21843920.9704
2018-10-08,2.71296,2.72701,2.53537,2.69852,334436.0,21775653.1696
2018-10-09,2.7198,2.7198,2.53712,2.5891,188658.0,20892690.668
2018-10-10,2.57802,2.63773,2.54876,2.63227,189391.0,21241050.1196
2018-10-11,2.62352,2.62456,2.34593,2.51361,167244.0,20283525.6228
2018-10-12,2.51533,2.56687,2.44695,2.46555,158519.0,19895706.414
2018-10-13,2.45925,2.47519,2.35987,2.38381,134772.0,19236107.1188
2018-10-14,2.38568,2.43014,2.37809,2.40839,122809.0,19434454.9372
2018-10-15,2.41183,2.51747,2.18589,2.35077,329671.0,18969491.4996
2018-10-16,2.35619,2.37741,2.2235,2.31086,168458.0,18647438.5528
2018-10-17,2.3194,2.33254,2.12581,2.20113,104870.0,17761974.5124
2018-10-18,2.21024,2.29857,2.17379,2.23248,81090.2,18014952.7104
2018-10-19,2.23987,2.25037,2.09595,2.11406,101395.0,17059364.8888
2018-10-20,2.1148,2.24926,2.10536,2.22603,78452.8,17962904.5644
2018-10-21,2.2282,2.27751,2.19599,2.21075,56348.8,17839602.91
2018-10-22,2.2097,2.22008,2.05562,2.12137,110833.0,17118352.7876
2018-10-23,2.12109,2.18379,2.09055,2.12001,69704.7,17107378.2948
2018-10-24,2.1126,2.26227,2.06958,2.16551,120113.0,17474539.6348
2018-10-25,2.16375,2.40984,2.12883,2.25988,318060.0,18236056.4624
2018-10-26,2.25907,2.53066,2.15941,2.52076,238793.0,20341222.4048
2018-10-27,2.46402,2.55083,2.33013,2.53174,149521.0,20429825.2952
2018-10-28,2.55225,2.65302,2.27767,2.33825,144338.0,18868461.61
2018-10-29,2.33401,2.46449,2.17588,2.21002,110893.0,17833712.1896
2018-10-30,2.20835,2.2639,2.1773,2.22405,86541.9,17946926.994
2018-10-31,2.2328,2.31261,2.16825,2.31261,87856.7,18661560.1428
2018-11-01,2.31931,2.33441,2.23423,2.27001,61088.6,18317800.2948
2018-11-02,2.26772,2.36904,2.24246,2.3546,80445.1,19000397.608
2018-11-03,2.35451,2.35515,2.26701,2.33959,63164.1,18879274.7132
2018-11-04,2.33987,2.35543,2.28281,2.33663,64597.2,18855389.0524
2018-11-05,2.32706,2.39,2.26202,2.28412,65464.7,18431660.6576
2018-11-06,2.29079,2.33574,2.22828,2.27178,69801.3,18301580.64
2018-11-07,2.2744,2.29781,2.19272,2.24603,60544.8,18124294.1644
2018-11-08,2.24981,2.31384,2.19061,2.23019,52379.9,17996473.6012
2018-11-09,2.22772,2.24218,2.04687,2.06359,64387.8,16652098.2332
2018-11-10,2.06847,2.23051,1.98097,2.21036,62052.1,17836455.8128
2018-11-11,2.21106,2.21106,2.00881,2.08899,69518.4,16857063.0252
2018-11-12,2.10667,2.1269,2.05267,2.06539,58919.9,16666623.2972
2018-11-13,2.05817,2.11256,2.00905,2.05229,63105.5,16560913.1092
2018-11-14,2.05199,2.07964,1.71467,1.79616,81803.1,14494077.1968
2018-11-15,1.80518,1.83046,1.55169,1.74597,64727.2,14089069.9956
2018-11-16,1.7463,1.77173,1.68613,1.74105,42766.7,14049368.154
2018-11-17,1.74726,1.75499,1.69494,1.71085,32844.0,13805669.858
2018-11-18,1.71904,1.81985,1.70683,1.80463,40541.1,14562425.6924
