Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,8.04382038116455,8.658699989318848,7.733799934387207,8.140870094299316,6888040.0,301244972.424
2018-07-05,8.154760360717773,8.215410232543945,7.9783101081848145,8.123729705810547,6478140.0,300610723.403
2018-07-06,8.105030059814453,8.253979682922363,7.289299964904785,8.013850212097168,8876630.0,296544720.928
2018-07-07,7.99753999710083,8.124259948730469,7.591119766235352,8.123629570007324,5209520.0,300607023.0
2018-07-08,8.116410255432129,8.296070098876953,7.731389999389648,7.740580081939697,6121760.0,286432630.498
2018-07-09,7.712769985198975,7.817299842834473,7.383120059967041,7.383120059967041,5314860.0,273205171.045
2018-07-10,7.36860990524292,7.405379772186279,6.331309795379639,6.35837984085083,5052580.0,235285664.525
2018-07-11,6.357970237731934,6.552219867706299,6.115499973297119,6.2799601554870605,4724870.0,232383808.736
2018-07-12,6.277860164642334,6.277860164642334,5.8937201499938965,6.1639299392700195,5412160.0,228090231.495
2018-07-13,6.167530059814453,6.847040176391602,6.167530059814453,6.410379886627197,6754790.0,237209873.923
2018-07-14,6.449900150299072,6.534689903259277,6.106729984283447,6.334869861602783,3156380.0,234415699.852
2018-07-15,6.3083600997924805,6.67140007019043,6.224050045013428,6.595980167388916,4001320.0,244077821.315
2018-07-16,6.617519855499268,6.8984599113464355,6.448180198669434,6.870039939880371,5558430.0,254219144.926
2018-07-17,6.8627800941467285,7.393849849700928,6.667990207672119,7.286300182342529,6515290.0,269622441.161
2018-07-18,7.2895097732543945,7.663489818572998,7.030069828033447,7.174009799957275,6814760.0,265467258.981
2018-07-19,7.144229888916016,7.189740180969238,6.6980299949646,6.78564977645874,5191910.0,251096375.096
2018-07-20,6.776519775390625,6.995610237121582,6.1210198402404785,6.231780052185059,5940310.0,230600954.72
2018-07-21,6.264269828796387,7.001410007476807,6.169260025024414,6.66910982131958,5644220.0,246783925.802
2018-07-22,6.701089859008789,6.778560161590576,6.306149959564209,6.336870193481445,4474880.0,234489707.906
2018-07-23,6.333059787750244,6.546189785003662,5.89463996887207,5.89463996887207,4704950.0,218125417.093
2018-07-24,5.912519931793213,6.481629848480225,5.745510101318359,5.944119930267334,7116600.0,219956376.343
