Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,0.04854679852724075,0.05068949982523918,0.04672669991850853,0.04968290030956268,3225390.0,23918606.7849
2018-07-05,0.04980640113353729,0.04997989907860756,0.04502769932150841,0.04626179859042168,761105.0,22271602.5707
2018-07-06,0.046369899064302444,0.04700250178575516,0.04417920112609863,0.0456462986767292,266324.0,21975285.2769
2018-07-07,0.04561910033226013,0.046694401651620865,0.044388800859451294,0.04643639922142029,114045.0,22355659.4343
2018-07-08,0.046562399715185165,0.052060600370168686,0.03759000077843666,0.0452331006526947,2452330.0,21776360.3284
2018-07-09,0.04547540098428726,0.04782969877123833,0.04221329838037491,0.042869098484516144,415156.0,20638270.8361
2018-07-10,0.04220839962363243,0.044308699667453766,0.03653319925069809,0.03683279827237129,351774.0,17732243.0854
2018-07-11,0.036872800439596176,0.03854779899120331,0.03451640158891678,0.035757798701524734,819470.0,17214710.8501
2018-07-12,0.03574720025062561,0.03611040115356445,0.03136590123176575,0.03408920019865036,1062570.0,16411404.5358
2018-07-13,0.034124601632356644,0.036010000854730606,0.03348980098962784,0.03565770015120506,260596.0,17166520.174
2018-07-14,0.035711899399757385,0.03598339855670929,0.03274549916386604,0.03520730137825012,264156.0,16949686.2031
2018-07-15,0.03521009907126427,0.03668230026960373,0.034381598234176636,0.035003699362277985,2656640.0,16851668.0048
2018-07-16,0.03488929942250252,0.03762400150299072,0.034180399030447006,0.03751299902796745,329975.0,18059708.5984
2018-07-17,0.03754980117082596,0.03937210142612457,0.03556549921631813,0.03878699988126755,332527.0,18673044.4754
2018-07-18,0.03896719962358475,0.0445249006152153,0.03794519975781441,0.03878770023584366,440814.0,18673381.4731
2018-07-19,0.03867039829492569,0.04138319939374924,0.037446800619363785,0.039838001132011414,234876.0,19179022.5026
2018-07-20,0.03974829986691475,0.040713999420404434,0.035062700510025024,0.03680989891290665,317717.0,17721218.4452
2018-07-21,0.03678179904818535,0.03789220005273819,0.03499680012464523,0.037264201790094376,57547.80078125,17939929.975
2018-07-22,0.03708770126104355,0.038293201476335526,0.03462420031428337,0.0365368016064167,85980.6015625,17589741.1862
2018-07-23,0.03667920082807541,0.039579298347234726,0.03579450026154518,0.038050200790166855,205636.0,18318330.2884
2018-07-24,0.038062598556280136,0.040015000849962234,0.03552529960870743,0.03856319934129715,547693.0,18565301.4854
2018-07-25,0.038309600204229355,0.0387037992477417,0.03668909892439842,0.03811660036444664,115740.0,18350296.9307
2018-07-26,0.03808879852294922,0.038376498967409134,0.03549649938941002,0.03613530099391937,60135.69921875,17396448.9141
2018-07-27,0.036161601543426514,0.03711570054292679,0.03492720052599907,0.036956001073122025,42118.0,17791554.6867
2018-07-28,0.03696019947528839,0.03703780099749565,0.03565090149641037,0.036323901265859604,28710.0,17487245.7323
2018-07-29,0.03639879822731018,0.03768159821629524,0.03623960167169571,0.03759630024433136,74866.3984375,18099811.3288
2018-07-30,0.0375908,0.0376351,0.0359014,0.0368377,70535.5,17734602.0695
2018-07-31,0.036898,0.0369692,0.0328064,0.0343588,174596.0,16541196.8062
2018-08-01,0.034334,0.0344569,0.0309066,0.0329514,191756.0,15863638.7894
2018-08-02,0.0329632,0.0345523,0.0324059,0.0333727,159228.0,16066463.2831
2018-08-03,0.0333713,0.0344583,0.031968,0.034339,146920.0,16531664.5845
2018-08-04,0.0343078,0.0344464,0.0313844,0.0319937,139352.0,15402577.7459
2018-08-05,0.0319955,0.0327733,0.0313085,0.0325865,80575.4,15687966.6846
2018-08-06,0.0326319,0.0360468,0.0326212,0.0337025,144020.0,16225237.3587
2018-08-07,0.0336774,0.0340787,0.0319831,0.0320185,91040.1,15414517.0943
2018-08-08,0.0319681,0.0324404,0.0291033,0.0291033,223543.0,14011065.9572
2018-08-09,0.0298648,0.0359226,0.0291419,0.034438,264765.0,16579325.6927
2018-08-10,0.0338745,0.0442049,0.0311901,0.0416715,2128300.0,20061715.8547
2018-08-11,0.0414772,0.0433482,0.0347491,0.0410862,5826720.0,19779937.606
2018-08-12,0.0410474,0.0419779,0.0371588,0.0384377,1050830.0,18504882.6058
2018-08-13,0.038797,0.0396005,0.0349533,0.0355981,461938.0,17137827.224
2018-08-14,0.0356014,0.0356063,0.030667,0.0323047,313600.0,15552301.0252
2018-08-15,0.0326122,0.0345896,0.0311382,0.0325088,222278.0,15650559.9361
2018-08-16,0.0325617,0.0332411,0.0312164,0.0324669,92557.6,15630388.2145
2018-08-17,0.0324128,0.0354945,0.032398,0.0354945,197360.0,17087951.5593
2018-08-18,0.0358237,0.0364782,0.0326517,0.0339097,226499.0,16324988.6881
2018-08-19,0.033889,0.0341182,0.0320988,0.0339008,179415.0,16320704.0027
2018-08-20,0.0339251,0.0340716,0.0314011,0.0315942,97133.7,15210248.3245
2018-08-21,0.0316077,0.0316819,0.0298182,0.0310338,117755.0,14940457.5667
2018-08-22,0.0310176,0.0321877,0.030415,0.0308567,143857.0,14855197.1399
2018-08-23,0.0308481,0.0310833,0.0297104,0.0309763,77942.6,14912775.6099
2018-08-24,0.031088,0.0312537,0.0299353,0.0309722,80692.4,14910801.7661
2018-08-25,0.0309638,0.0313952,0.0300947,0.0308608,68754.9,14857170.9837
2018-08-26,0.0308568,0.0323538,0.0295445,0.0313142,296581.0,15075449.2307
2018-08-27,0.0311788,0.0317189,0.0302644,0.0311051,99060.5,14974783.1931
