Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,0.20577600598335266,0.21654799580574036,0.20336200296878815,0.20973500609397888,33301500.0,3934811607.42
2018-07-05,0.21021300554275513,0.21418799459934235,0.19952799379825592,0.2029780000448227,37009800.0,3808050176.38
2018-07-06,0.203001007437706,0.20969299972057343,0.19899100065231323,0.20638099312782288,37627900.0,3872833573.06
2018-07-07,0.20610399544239044,0.20937900245189667,0.20041300356388092,0.20845000445842743,36238600.0,3911659301.5
2018-07-08,0.20895299315452576,0.21620799601078033,0.20763300359249115,0.20978300273418427,40958600.0,3936673654.34
2018-07-09,0.21063700318336487,0.2134850025177002,0.20682600140571594,0.20792900025844574,38649000.0,3901897095.54
2018-07-10,0.20659500360488892,0.2073110044002533,0.19160300493240356,0.19188900291919708,36923400.0,3600977147.34
2018-07-11,0.1918250024318695,0.19424499571323395,0.1846799999475479,0.1895039975643158,33530700.0,3556231413.47
2018-07-12,0.19029800593852997,0.19043000042438507,0.17974300682544708,0.18571899831295013,35633800.0,3485213844.62
2018-07-13,0.1859859973192215,0.20427200198173523,0.18381600081920624,0.20427200198173523,49954700.0,3833390866.29
2018-07-14,0.20378899574279785,0.21142099797725677,0.1970839947462082,0.2078769952058792,43684700.0,3901042693.62
2018-07-15,0.20803099870681763,0.22230300307273865,0.20599600672721863,0.21987099945545197,51388000.0,4126123419.56
2018-07-16,0.21947799623012543,0.23792800307273865,0.2174600064754486,0.23792800307273865,51377800.0,4464994420.92
2018-07-17,0.23800399899482727,0.25349900126457214,0.22872400283813477,0.2529670000076294,60804000.0,4747313040.13
2018-07-18,0.25324898958206177,0.31800898909568787,0.25171199440956116,0.29840001463890076,238660000.0,5599953565.61
2018-07-19,0.29681798815727234,0.31627100706100464,0.2804889976978302,0.3025130033493042,190768000.0,5677157473.37
2018-07-20,0.3024210035800934,0.303164005279541,0.26719799637794495,0.27149200439453125,132780000.0,5095017949.2
2018-07-21,0.2703799903392792,0.29449400305747986,0.2595129907131195,0.29225900769233704,103169000.0,5484746918.23
2018-07-22,0.2907389998435974,0.30445998907089233,0.2810310125350952,0.2835339903831482,98754600.0,5321007291.49
2018-07-23,0.28311899304389954,0.2988399863243103,0.281607985496521,0.28438401222229004,91948800.0,5337025910.3
2018-07-24,0.2849220037460327,0.30438101291656494,0.28088200092315674,0.3014560043811798,107505000.0,5657514926.32
2018-07-25,0.29733601212501526,0.34866398572921753,0.2943579852581024,0.3317059874534607,180428000.0,6225230518.13
2018-07-26,0.332302987575531,0.3483630120754242,0.2984600067138672,0.30955201387405396,173806000.0,5809475472.41
2018-07-27,0.3082830011844635,0.32260799407958984,0.2968220114707947,0.31688201427459717,109249000.0,5947061206.18
2018-07-28,0.3177880048751831,0.3230009973049164,0.31101998686790466,0.31522899866104126,72393904.0,5916038736.59
2018-07-29,0.31640100479125977,0.3184719979763031,0.30514100193977356,0.3083989918231964,69073696.0,5787857131.62
2018-07-30,0.308645,0.308645,0.281066,0.295923,87990000.0,5554454640.29
2018-07-31,0.295472,0.295472,0.267827,0.278009,90072600.0,5218300057.92
2018-08-01,0.278127,0.282404,0.265441,0.276268,78075400.0,5185622589.59
2018-08-02,0.276901,0.2814,0.261192,0.261192,64773900.0,4902642206.37
2018-08-03,0.261763,0.268918,0.246723,0.258956,78914000.0,4860671978.79
2018-08-04,0.257761,0.261043,0.236501,0.240724,62650500.0,4518452392.63
2018-08-05,0.241105,0.246923,0.236088,0.244218,50833600.0,4584035685.78
